Title,Description,DATE,URL REDIRECT,Presented By,BrightTalk URL,Has this been migrated?,Stage Site URL,Migration clean up completed?,Who,Date,asdfa,Type,Topic,Product/Service,Industry,Taxonomy added?,ID
M-Trends 2020: Insights into Today’s Cyber Attacks,"Protect your organization against today’s most dangerous attackers.

Explore the latest developments behind today’s attacker techniques, behaviors, and motivations sourced from the M-Trends 2020 Report - our annual publication based on FireEye Mandiant’s frontline investigations of the most interesting and impactful cyber attacks in 2019.

Join us for this webinar on Thursday, March 12th at 8 a.m. PT/11 a.m. ET, as FireEye Mandiant experts discuss highlights and case studies from this year’s edition, including:
• Global perspectives on trending attacks and how to combat them
• Details on the most active attack groups in 2019
• Malware family trends
• The rise of malicious insiders
• Insights from cloud investigations, along with common weaknesses and best practices
• Case studies with practical security lessons",3/12/2020,No,"Nick Bennett## Managing Director, FireEye Mandiant|| Jon Ford##Director, FireEye Mandiant|| Steven Stone## Director, FireEye",https://www.brighttalk.com/webcast/7451/384866,No,,No,,,,Webinar,"MTrends, Malware, Insider Threats", ,General,No,11
Operationalizing Cyber Threat Intel,"Operationalizing Cyber Threat Intelligence (CTI) helps mitigate risk by focusing people, processes, and technology on the threat activity matters. Above all, it allows organizations to take a more proactive, structured, and holistic approach to security that reduces dwell time and shortens the time frame from identification to fix. In today's dynamic threat environment, it is critical to boosting your overall cyber security return on investment.

Join us as we look specifically at how cyber threat intelligence can help improve computer network defense (CND) operations. Our experts will share:

• A case study, that will examine the intelligence tied to recent Iranian geopolitical events and demonstrate how operators can pivot from intelligence reporting to high confidence alerting and targeted threat hunting
• FireEye’s Iranian relevant threat intelligence along with the MITRE ATT&CK framework to help decision makers improve their overall network security posture by prioritizing security investments based on adversary capabilities
• How intelligence enhances your overall cyber security investment and places your operations ahead of the threat
• Methods for automating vulnerability management and patch prioritization by correlating intelligence to vulnerability scan data",2/10/2020,No,"Shanyn Ronis## Manager, FireEye Threat Intelligence Services|| Katie Bowen## Threat Analyst, FireEye",https://www.brighttalk.com/webcast/7451/383634,No,,No,,,,Webinar,"Threat Intelligence, Computer Network Defense ", ,General,No,12
Perpsecitve on Iranian Attacks & Practical Mitigations,"FireEye's Perspective on Iranian Attacks and Practical Mitigations
Make Better-Informed Decisions and Protect Your Organization

The recent tension between Iran and the U.S. has increased the likelihood of Iranian action against U.S. and Gulf entities. While the exact nature, timing, and targets of any response from Iran is uncertain, FireEye Threat Intelligence analysts assess with moderate confidence that it will include a cyber component.

Watch this complimentary on-demand webinar, as Ben Read, Sr. Manager, Cyber Espionage Analysis provides:
•An overview of FireEye’s perspective on the current threat landscape from Iran
•Tactics recently employed by Iranian groups like APT33, APT34 and others
•Recommended mitigations to protect your organization from these groups",1/13/2021,No,"Benjamin Read## Senior Manager, Cyber Espionage Analysis, FireEye",https://www.brighttalk.com/webcast/7451/382779,No,,No,,,,Webinar,"Nationstates, Geopolitics, Iran, APT33, APT34", ,General,No,13
Proactive Solutions to Stop Modern Ransomware in its Tracks,"Ransomware is one of the most active and profound cyber threats facing organizations today. Years after Wannacry attacks shuttered businesses across the globe, stealthy ransomware infections continuously dominate headlines and board discussions. Attackers have developed advanced techniques that now require organizations to apply a holistic security risk mitigation strategy from the C-suite to practitioners.

This webinar brings together Mandiant incident response, threat intelligence and managed detection and response experts to discuss strategic and tactical solutions that will help your organization:

• Learn modern ransomware trends and attacker behaviors observed on the frontlines
• Realize why proactive assessment is critical when preparing for and preventing ransomware
• Understand how threat intelligence, hunting, and response provides the decision support and detection needed to outmaneuver ransomware actors
• Implement effective mitigation strategies to stop ransomware attackers in their tracks

Register today to join Nader Zaveri – Incident Response Manager, Matt Bromiley – Managed Defense Principal Consultant, and Kimberly Goody – Threat Intelligence Senior Manager, as they provide expert insights on modern-day ransomware attacks and how best to mitigate them.",6/9/2020,No,"Nader Zaveri## IR Mgr|| Matt Bromiley## Principal Consultant|| Kimberly Goody## Sr. Mgr., Threat Intelligence
",https://www.brighttalk.com/webcast/7451/403414,No,,No,,,,Webinar,"Ransomware, ", ,General,No,14
"Proving Security Effectiveness to Your CISO, CFO and Board","Investments in cyber security have rapidly increased in recent years, yet high-profile breaches continue to make headlines, and the economic and financial losses stemming from these breaches continue to grow. Combined with economic pressures and extensive remote workforces, CISOs and CFOs must now work together to understand where to cut spending without adding risk. But without proper security validation and assessment tools that can credibly quantify risks in dollar terms, this becomes an impossible task.

Attend this webinar to:

• Learn how to fully validate your organization’s cyber health and measure its impact on the company’s financial posture and market performance Determine your organization’s risk profile, the financial impact of cyber performance and communicate about risk in dollar-based terms
• Discover how mismanagement, underutilization and duplication of security controls drive up costs that increase as they flow through the organization
• Learn how a bottom-up approach to security validation combined with a top-down market-validated risk assessment increases ROI of your security investments

Expert Speakers:
Earl Matthews, Maj Gen, (Ret), Vice President of Strategy, Mandiant Security Validation
Ryan Dodd, Founder and CEO, Cyberhedge",2/11/2021,No,"Earl Matthews## Maj Gen, (Ret), VP of Strategy, Mandiant Security Validation|| Ryan Dodd## Founder and CEO, Cyberhedge",https://www.brighttalk.com/webcast/7451/462716,No,,No,,,,Webinar,"Cyber Health, Risk, ROI",Security Validation,General,No,15
Ransomware - Not Just a Technical Issue,"Ransomware is a growing issue across the world, with the number of attacks and ransom values increasing. In this session we will outline our approach to advising some of the world’s biggest companies on this issue.

The session will be delivered by Stuart McKenzie the Senior Vice President of Mandiant Consulting, EMEA who advises organization on threat, response, remediation and recovery from cyber threats.

During this presentation, attendees will hear about:
• The latest ransomware threats
• Threat actor tactics
• Ways to use this intelligence to defend your organization",1/20/2021,No,"Stuart McKenzie## Senior Vice President of Mandiant Consulting, EMEA",https://www.brighttalk.com/webcast/10703/463694,No,,No,,,,Webinar,"Ransomware, Incident Response, Threat Intelligence", ,General,No,16
Ransomware Trends with a Focus on MAZE,"Ransomware threat actors are upping their game along with their ransom demands, which are climbing into millions of dollars. Large organizations with significant security controls in place are still falling prey to the attackers' tactics. This session examines how ransomware has evolved, and more importantly, what you can do about it. Come learn how to can gain some control your next ransomware experience.",6/9/2020,No,"Steve Ledzian## VP, CTO - APAC, FireEye",https://www.brighttalk.com/webcast/10469/409323,No,,No,,,,Webinar,"Ransomware, Threat Actors, Threat Intelligence", ,General,No,17
Ransomware: Attackers' top choice for cyber extortion,"Ransomware is one of the most active and profound threats facing organizations today across all industries and sizes. Years after WannaCry attacks impacted businesses across the globe, stealthy ransomware infections continue to dominate headlines and board discussions. The impact of a successful ransomware deployment includes both technical and non-technical challenges and can be crippling to an organization’s operations.

Join our live Panel session where Stuart McKenzie, Senior Vice President of Mandiant Consulting, EMEA and David Grout, EMEA CTO, will be discussing business imperatives including:
•Board awareness of the impact of ransomware
•Direct and indirect financial implications for organizations
•How best to alert, inform and brief the board?
•The role of senior IT leaders and how traditional Ransomware approaches are no longer effective",3/4/2021,No,"Stuart McKenzie ## Senior Vice President of Mandiant Consulting, EMEA, ||David Grout ## EMEA CTO, FireEye",https://www.brighttalk.com/webcast/10703/470587,No,,No,,,,Webinar,"Ransomware, Boardroom, Business Risk", ,General,No,18
Respond to the Alerts that Matter with Free Expert Ratings from Mandiant,"30-minute demo on how to get threat actor insights and instant value from Mandiant Advantage

Time is of essence, especially when it comes to responding to alerts. Unfortunately, there are often too many and picking the right one to investigate and respond to takes time and expertise.

Join us in this session where our specialist Tim Gallo will give an overview of Mandiant Advantage: Threat Intelligence and recently added features that will help you prioritize alerts and provide instant context directly from Mandiant’s frontline expertise.

Key topics:

-Understanding the latest news with Mandiant’s judgments
-Mandiant M-score for quick expert ratings on indicators
-Browser Plugin, the heads up display every SOC analyst needs

Join us for a 30-minute live presentation and demo on Thursday March 11th 2021 at 2 PM EST.

Presenter: Tim Gallo – Security Strategist and Solutions Engineering Lead at FireEye Mandiant
Host: Bart Lenaerts – Product Marketing Mandiant Solutions",3/11/2021,No,"Tim Gallo## Security Strategist & Solutions Engineering Lead, FireEye Mandiant|| Bart Lenaerts-Bergmans## Sr. PMM, Mandiant",https://www.brighttalk.com/webcast/7451/469948,No,,No,,,,Webinar,"Mandiant Advantage, Threat Intelligence, SOC",Mandiant Advantage,General,No,19
Rethink Cyber Defense Strategies by Starting with Threats,"Many organizations define cyber defense strategies based on fears or fines: decisions makers are often influenced by the latest news headline or the next audit.
Today, threat intelligence content levels have evolved to reach new readers or enable innovative use cases. Consequently, threat intelligence can inform how you optimize cyber strategies, from essential high-quality detection to alert investigation and the reduction of enterprise threat surfaces.
In this session, Peter Watts, threat intelligence veteran and former Director for Cybersecurity Policy, National Security Council lays out:

• A modern definition of threat intelligence with important milestones
• How to recognize and develop critical success factors for producing or consuming threat intelligence
• The impact of actionable threat intelligence on security risk leaders and their organizations
• Future use cases that may reshape how we think about cyber defense and business value",6/9/2020,No,"Peter Watts## former Director for Cybersecurity Policy, National Security Council",https://www.brighttalk.com/webcast/10469/410225,No,,No,,,,Webinar,"Security Strategy, Threat Intelligence", ,General,No,20
Security Effectiveness Strategies: Validate and Improve Your Security Posture,"To stay ahead of an evolving threat landscape, security teams must continuously improve their processes and technology. But even with their investments, security professionals still need answers to pressing questions:
-Who are the attackers that target my industry and what techniques do they use?
-Which alerts matter most and how do I respond?
-Are my tools, controls, processes working as expected?
-Where should I focus improvement efforts?

Join Major General Earl Matthews USAF (Ret), VP of Strategy, Mandiant Solutions and Jeff Compton, Senior Manager, Global Head of Intelligence Consulting, FireEye Mandiant Threat Intelligence for our upcoming webinar to:

-Learn how cyber threat intelligence can inform which attackers target your industry and understand the techniques they employ
-Find out how continuous validation can pinpoint where you have gaps so you can target improvements where they are needed
-Understand how validation technology powered by relevant intelligence can generate proof of effectiveness and reduce risk",5/13/2020,No,"Major General Earl Matthews## VP of Strategy, Mandiant Security Validation|| Jeff Compton## Global Head, Mandiant Threat Intel",https://www.brighttalk.com/webcast/7451/391111,No,,No,,,,Webinar,"Security Strategy, Threat Landscape",Security Validation,General,No,21
The BIG Cyber Security Skills Gap,"Attackers will continue to be effective through an increase in sophistication, but they will also be successful due to the challenges organizations face in recruiting and retaining skilled cyber professionals.

During this webinar we will discuss the benefits and challenges of in-house vs. outsourcing of cyber security operations, and how this has been affected by a cyber-skills shortage within the industry with ‘on-demand’ resource being readily available when needed with real time insight and expertise of cyber breaches.",3/8/2019,No,"Alistair E. Macrae## Systems Engineer, FireEye
",https://www.brighttalk.com/webcast/7451/352140,No,,No,,,asdfasd,Webinar,"Skills Gap, Cyber Security Careers", ,General,No,22
The Cyber Skills Gap: A Practitioner’s Perspective,"The shortage of cybersecurity workers is a growing concern for the teams who are directly responsible for protecting the organization against cyber threats. It’s estimated that by 2021, 3.5 million cyber security positions will go unfilled.

Join Stanley Parret, Principal Consultant for FireEye Managed Defense, for a look at the unforeseen challenges and consequences of the growing cyber skills gap, especially around protecting against advanced threats. In this webinar, we’ll discuss:

-The impact of staffing shortages on security practitioners
-How they’re being required to protect more with less
-The options available to security teams who need to extend their capacity",6/19/2019,No,"Stanley Parret##Principal Consultant, FireEye Managed Defense",https://www.brighttalk.com/webcast/7451/358572,No,,No,,,,Webinar,"Skills Gap, Cyber Security Careers", ,General,No,23
The Road Ahead: Cyber Security in 2020 and Beyond,"As 2019 comes to a close, we walk away armed with even more knowledge about the threat actors and trends we can expect to continue in 2020 and beyond. Attackers innovate and grow more sophisticated, but there is a lot we can still do to prepare for upcoming compromise attempts and get ahead of the threats.

On Thursday, November 21st at 8a PT/11a ET, join Sarah Geary, Manager of Intelligence for Executives at FireEye, as she shares her thoughts about cyber security in 2020. During the webinar, Sarah will touch on various topics discussed in our report, The Road Ahead: Cyber Security in 2020 and Beyond, including:

• Geopolitics driving threat actors
• Cyber influence operation developments
• New criminal tactics in the underground
• Trends in ransomware and supply chain attacks

Mandiant Threat Intelligence experts Gina Hill and Duke McDonald present an in-depth explanation of what it means to be intelligence-led, how organizations should seek to increase intelligence maturity and capability, and how to get started on this journey.

Join this session to learn:
• The definition, characteristics and caveats of an intelligence-led security approach
• Things to consider when assessing and evolving intelligence maturity
• The importance of frameworks when assessing, measuring and executing on your strategy",11/21/2019,No,"Sarah Geary## Manager of Intelligence for Executives, FireEye
",https://www.brighttalk.com/webcast/7451/375921?utm_source=brighttalk-portal&utm_medium=web&utm_content=The%20Road%20Ahead:%20Cyber%20Security%20in%202020%20and%20Beyond&utm_term=search-result-1&utm_campaign=webcasts-search-results-feed,No,,No,,,,Webinar,"Threat Actors, Geopolitics, Ransomware", ,General,No,24
The Security Operations Center is Essential – But Is it Effective?,"From COVID to the cloud and from ransomware to work-from-home, everything changed, fast. The foundation of it all – the Security Operations Center, or SOC, played a critical role in supporting how enterprises tackled the pivot in how we work, communicate and connect, while ensuring a strong security posture for the organization. The Ponemon Institute researched how these changes have impacted the effectiveness of the SOC in the “Second Annual Study on the Economics of Security Operations Centers: What is the True Cost for Effective Results?”

What stands out this year?

• COVID-19: The pandemic’s impact on how SOCs operate and tackle security challenges as remote employees create new access points and bad actors take advantage.
• Strong Hiring & Salaries: Jobs and salaries are up as CISOs drive to employ qualified security analysts and retain them in an environment where competition for their services is ruthless.
• ROI of the SOC is Dropping: Complexity, analyst turnover and the growing cost of MSSP support for security monitoring drives lower scores in SOC investment.
• Budgets include Automation & Extended Detection & Response: Extended Detection & Response (XDR) and security automation solutions have emerged as budgetary priorities as CISOs seek answers to improve security engineering effectiveness and cost.

Let’s dig into what it all means for the next year. Join the report author, Larry Ponemon, Founder of the Ponemon Institute and Dan Lamorena, VP of Marketing for XDR at FireEye, for a live discussion on the state of today’s SOC, staffing, budgets for SOC tools, cost considerations for outsourcing and ROI.",1/26/2021,No,Larry Ponemon## Founder of the Ponemon Institute || Dan Lamorena##VP Marketing for XDR at FireEye,https://www.brighttalk.com/webcast/7451/460730,No,,No,,,,Webinar,"COVID, Cloud, Ransomware, SOC, ROI", ,General,No,25
"They Come in the Night: Emerging Ransomware Trends
Uncover the latest ransomware research including new trends i","Ransomware is remote digital extortion. Disruptive and costly to address, it affects all kinds of organizations, from space technology firms to global manufacturers and industrial environments.

FireEye Threat Intelligence research has uncovered an increasing number of common characteristics in ransomware attacks, including new trends in intrusion vectors, dwell time, deployment time of day and the use of additional tactics to increase leverage against victims.

Join Threat Intelligence experts Kelli Vanderlee and Kimberly Goody, on Tuesday, March 31, 2020 at 8 a.m. PT/11 a.m. ET, to learn about the latest research and ask them critical questions. During this presentation, attendees will hear about:

• The latest ransomware threats
• Threat actor tactics
• Ways to use this intelligence to defend your organization",3/31/2019,No,"Kelli Vanderlee Manager## Intelligence Analysis, FireEye || Kimberly Goody## Sr. Manager, FireEye Intelligence",https://www.brighttalk.com/webcast/7451/389929,No,,No,,,,Webinar,"Ransomware, Digital Extortion, Threat Actors", ,General,No,26
Threat Intel Drives Effective Vulnerability Management,"Organizations value cyber threat intelligence (CTI) because it helps their security teams stay focused on, and stay ahead of, the most impactful threats. One of the critical strategic and tactical roles that CTI plays is in the tracking, analysis, and prioritization of software vulnerabilities that could potentially put an organization’s data, employees and customers at risk.

Join us to hear FireEye Threat Intelligence experts, Jared Semrau and Kathleen Metrick share:
• The importance of comprehensive CTI to drive better-informed vulnerability management decisions
• Insight into how FireEye tracks, prioritizes and categorizes vulnerabilities to help organizations more effectively manage and mitigate the risks associated with these potential threats
• The latest research findings around the speed and frequency of exploitation",4/30/2020,No,"Jared Semrau## Sr. Mgr.,Vulnerability and Exploitation, Mandiant|| Kathleen Metrick## Analyst, Strategic Intelligence, Mandiant",https://www.brighttalk.com/webcast/7451/392772,No,,No,,,,Webinar,"Threat Intelligence, Security Strategy", ,General,No,27
Threat Intelligence as a Business Enabler,"Join Jens Monrad, Head of Mandiant Threat Intelligence – EMEA, for ‘Cyber Threat Intelligence as a Business Enabler’.
This session will cover how accurate and relevant Cyber Threat Intelligence can help organisations make smarter decisions around cyber defence, alert & event prioritisation. Jens will also discuss how cyber threat intelligence enables businesses to make decisions based upon the cyber threat landscape and their risk appetite.",6/10/2020,No,"Jens Monrad, Head of Mandiant Threat Intelligence, EMEA
",https://www.brighttalk.com/webcast/7451/412279,No,,No,,,,Webinar,"Business Risk, Threat Intelligence", ,General,No,28
UNC2452: What We Know So Far,"Get the latest on UNC2452, the actor behind the SolarWinds supply chain compromise

FireEye's Mandiant team recently uncovered a threat actor leveraging a supply chain to carry out intrusions in a uniquely impactful campaign. The actor behind these intrusions, UNC2452, focuses heavily on operational security, which has limited historic perspective on their behavior and made them very difficult to detect; however, we are rapidly learning more about them.

Join our Mandiant experts for this webinar where we will offer the latest intelligence on this important threat actor.",1/12/2021,No,"Benjamin Read## Director, Threat Intelligence Analysis || John Hultquist## VP, Mandiant Threat Intelligence",https://www.brighttalk.com/webcast/7451/462719?utm_source=brighttalk-portal&utm_medium=web&utm_content=unc2452&utm_term=search-result-3&utm_campaign=webcasts-search-results-feed,No,,No,,,,Webinar,"UNC2452, UNC, Supply Chain", ,General,No,29
Uplift your SOAR with Detection On Demand,"One of the foremost challenges for security operations center (SOC) analysts is evaluating alerts from the wide variety of tools operating in the SOC. For every alert, SOC analysts must perform a detailed triage in order to determine the extent of an alert and whether an alert is actually a threat or a false positive. It can be difficult for a SOC analyst to easily determine whether a file or hash is malicious or benign and the whole process can take hours of valuable time.

Enter FireEye Detection on Demand! Delivered as an API, this threat detection service provides easy integration into the SOC workflow, SIEM analytics, data repositories, and more. Detection On Demand delivers flexible file and content analysis capabilities to identify malicious behavior wherever the enterprise needs it.

Verdicts are delivered almost instantly and allow applications to quickly process without the latency of other competitors. If more in-depth analysis is needed, users can log into the Detection On Demand web portal which provides reports, memory dumps, pcaps, and access to MITRE ATT&CK mappings.

Detection On Demand integrates natively with FireEye Security Orchestrator and with numerous other SaaS and Security products, providing for rapid integration with the existing infrastructure. Many application integrations are already in place with the likes of Splunk Phantom, Polarity, Siemplify, Palo Alto Network XSOAR, and D3 Security, with more being added every month.

In this webinar, you will learn:
•How Detection On Demand works
•How to best integrate Detection On Demand to improve the efficiency of your SOC
•Other ways you can leverage Detection on Demand

At the end of the webinar, you will be able to test drive Detection On Demand for yourself.",2/16/2021,No,"Rob Ayoub##Sr. Product Marketing Manager, FireEye|| Alex Lanstein##Product Manager, Detection on Demand, FireEye",https://www.brighttalk.com/webcast/10703/462464,No,,No,,,,Webinar,"SOC, SOAR, Detection",Automated Defense,General,No,30
